vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
110987,Tiamax Vet.,granulat til oral opløsning,450 mg/g,1 kg,28103871805,450,MGG,1,QJ01XQ01
110996,Tiamax Vet.,granulat til oral opløsning,450 mg/g,5 kg,28103871805,450,MGG,5,QJ01XQ01
110997,"Heparin ""LEO""","injektionsvæske, opløsning",5.000 IE/ml,5 x 5 ml,28105236313,5000,IUM,25,B01AB01
110999,Hexalid,tabletter,5 mg,100 stk.,28101203284,5,MG,100,N05BA01
111047,Panacur Vet.,afdelte granulater,1 g,"6 x 4,5 g",28101500892,1,G,27,QP52AC13
111062,Hexalacton,tabletter,25 mg,100 stk.,28101203484,25,MG,100,C03DA01
111088,Hexalacton,tabletter,25 mg,1000 stk. (10x100),28101203484,25,MG,1000,C03DA01
111126,Estrofem mite,filmovertrukne tabletter,1 mg,84 stk. (blister),28105348513,1,MG,84,G03CA03
111146,Hexalacton,tabletter,100 mg,100 stk.,28101203684,100,MG,100,C03DA01
111161,Hexalacton,tabletter,100 mg,1000 stk. (10x100),28101203684,100,MG,1000,C03DA01
111214,"Quetiapin ""Orifarm""",filmovertrukne tabletter,100 mg,100 stk. (blister),28104790610,,,100,N05AH04
111229,Mirena,intrauterint indlæg,20 mikrog./24 timer,1 stk.,28101488192,20,RGH,1,G02BA03
111245,Medrol,tabletter,32 mg,20 stk.,28101464491,32,MG,20,H02AB04
111294,Flemoxin Solutab,opløselige tabletter,250 mg,10 x 50 stk.,28101366189,250,MG,500,J01CA04
111302,Flemoxin Solutab,opløselige tabletter,500 mg,10 x 50 stk.,28101366389,500,MG,500,J01CA04
111310,Flemoxin Solutab,opløselige tabletter,750 mg,10 x 50 stk.,28101366489,750,MG,500,J01CA04
111385,Solu-medrol,injektionssubstans,250 mg,1 to-delt htgl. + solvens,28101500292,250,MG,1,H02AB04
111450,Adifax,kapsler,15 mg,180 stk. (blister),28101560793,15,MG,180,A08AA04
111454,"Amlodipin ""Sandoz""",tabletter,10 mg,120 stk.,28103655504,10,MG,120,C08CA01
111487,"Alendronat ""Teva""",tabletter,70 mg,4 stk. (blister),28103833505,70,MG,4,M05BA04
111496,"Alendronat ""Teva""",tabletter,70 mg,12 stk. (blister),28103833505,70,MG,12,M05BA04
111504,"Fluconazol ""Accord""","kapsler, hårde",150 mg,2 stk. (blister),28104849910,150,MG,2,J02AC01
111519,Ovison,kutanopløsning,1 mg/g,2 x 100 ml,28104940011,1,MGG,200,D07AC13
111526,Propranet,tabletter,80 mg,100 stk.,28101442891,80,MG,100,C07AA05
111530,"Estradiol ""Sandoz""",filmovertrukne tabletter,2 mg,84 stk. (blister),28103865205,2,MG,84,G03CA03
111534,Propranet,tabletter,80 mg,30 stk.,28101442891,80,MG,30,C07AA05
111542,Propranet,tabletter,160 mg,100 stk.,28101442991,160,MG,100,C07AA05
111623,Nobivac DHP,"pulver og solvens til injektionsvæske, suspension",,50 x 1 dosis,28104161207,,,50,QI07AD02
111633,"Magnesia ""DAK""",tabletter,500 mg,250 stk.,28100731276,500,MG,250,A02AA04
111641,NeoGletvax Vet.,"injektionsvæske, suspension",,20 ml,28100925977,,,20,QI09AB02
111651,"Simvastatin ""Sandoz""",filmovertrukne tabletter,10 mg,100 stk.,28103835705,10,MG,100,C10AA01
111658,NeoGletvax Vet.,"injektionsvæske, suspension",,6 x 20 ml,28100925977,,,120,QI09AB02
111674,Hexasoptin,overtrukne tabletter,40 mg,25 stk.,28101182484,40,MG,25,C08DA01
111678,Citrafleet,pulver til oral opløsning,"0,01g+3,5g+10,97g",2 stk.,28104107207,,,2,A06AB58
111690,"Koffisal ""DAK""",tabletter,250 + 50 + 250 mg,250 stk.,28100727576,,,250,N02BB51
111708,"Magnyl ""DAK""",tabletter,500 mg,250 stk.,28101376089,500,MG,250,N02BA01
111710,Gemstada,"koncentrat til infusionsvæske, opløsning",38 mg/ml,"26,3 ml",28104333808,38,MGM,26.3,L01BC05
111724,Dormapam,kapsler,20 mg,10 stk.,28101468991,20,MG,10,N05CD07
111732,Haemate,"pulver og solvens til injektions- og infusionsvæske, opløsning",,250 IE + 10 ml solvens,28101179984,,,250,B02BD06
111765,"Kodimagnyl ""DAK""",brusetabletter,500+10 mg,3 x 20 stk.,28100981278,,,60,N02BA51
111769,Premedox Vet.,oralt pulver,50 mg/g,5 kg,28104065707,50,MGG,5,QJ01AA02
111770,"Amlodipin ""Orifarm""",tabletter,5 mg,100 stk. (blister),28104649810,5,MG,100,C08CA01
111778,INexium,enterotabletter,40 mg,14 stk (blister),28104138307,40,MG,14,A02BC05
111781,Bricanyl Turbuhaler,inhalationspulver,"0,5 mg/dosis",20 x 50 doser,28101282986,0.5,MGD,1000,R03AC03
111787,INexium,enterotabletter,40 mg,28 stk. (blister),28104138307,40,MG,28,A02BC05
111790,"Enalapril ""EuroPharma""",tabletter,"2,5 mg",100 stk.,28105208913,2.5,MG,100,C09AA02
111795,Clarityn,tabletter,10 mg,10 stk. (blister),28101258286,10,MG,10,R06AX13
111799,Emconcor,tabletter,5 mg,98 stk. (blister),28101667194,5,MG,98,C07AB07
111805,INexium,enterotabletter,40 mg,98 stk. (blister),28104138307,40,MG,98,A02BC05
111807,"Ox-hep ""LEO""",injektionsvæske,1000 I.E./ML,1 htgl. a 5 ml,28101198784,1000,IUM,5,B01AB01
111815,"Ox-hep ""LEO""",injektionsvæske,5000 I.E./ML,1 htgl. a 5 ml,28101187984,5000,IUM,5,B01AB01
111823,INexium,enterotabletter,20 mg,98 stk. (blister),28104138207,20,MG,98,A02BC05
111841,INexium,enterotabletter,20 mg,7 stk. (blister),28104138207,20,MG,7,A02BC05
111849,Emconcor,tabletter,5 mg,28 stk. (blister),28101667194,5,MG,28,C07AB07
111850,INexium,enterotabletter,20 mg,14 stk. (blister),28104138207,20,MG,14,A02BC05
111856,Nuelin Retard,depottabletter,250 mg,260 stk.,28101681894,250,MG,260,R03DA04
111859,INexium,enterotabletter,20 mg,28 stk. (blister),28104138207,20,MG,28,A02BC05
111862,Minirin,smeltetabletter,120 mikg,100 stk. (blister),28104838111,120,RG,100,H01BA02
111864,Ascarex Vet.,oralt pulver,,5000 g,28101189984,,,5000,QP52AH01
111881,Advate,"pulver og solvens til injektionsvæske, opløsning",250 IE,1 sæt (2 ml),28103442802,250,IU,1,B02BD02
111889,"Nebivolol ""Portfarma""",tabletter,5 mg,98 stk. (blister),28104250307,5,MG,98,C07AB12
111898,Danocrine,kapsler,200 mg,100 stk. (blister),28100920874,200,MG,100,G03XA01
111914,Diprinovet Vet.,bolus,,30 boli + bolusbøsse,28101398690,,,30,QJ01EW03
111922,Lincomix Vet.,oralt pulver,44 mg/g,4 x 5 kg,28101085081,44,MGG,20,QJ01FF02
111923,Nexiam,enterotabletter,20 mg,56 stk. (blister),28104138707,20,MG,56,A02BC05
111948,Dormapam,kapsler,20 mg,30 stk.,28101468991,20,MG,30,N05CD07
111955,Panodil,filmovertrukne tabletter,1000 mg,100 stk.,28101674394,1000,MG,100,N02BE01
111959,Nexiam,enterotabletter,20 mg,14 stk. (blister),28104138707,20,MG,14,A02BC05
111963,Baypress,tabletter,20 mg,30 stk.,28101207185,20,MG,30,C08CA08
111968,Nexiam,enterotabletter,20 mg,28 stk. (blister),28104138707,20,MG,28,A02BC05
111971,Baypress,tabletter,20 mg,100 stk.,28101207185,20,MG,100,C08CA08
111977,Cardil,depottabletter,120 mg,120 stk.,28104143907,120,MG,120,C08DB01
111989,Asasantin Retard,"depotkapsler, hårde",200 + 25 mg,30 stk.,28101849196,,,30,B01AC30
111995,Isoptin Retard,depottabletter,120 mg,100  stk. (blister),28104143307,120,MG,100,C08DA01
112003,Trimonil Retard,depottabletter,600 mg,30 stk.,28101222785,600,MG,30,N03AF01
112011,Dormapam,kapsler,20 mg,100 stk.,28101468991,20,MG,100,N05CD07
112022,Implanon NXT,implantat,,1 stk.,28103037998,,,1,G03AC08
112029,Sulfotrim Forte,tabletter,,20 stk.,28100954177,,,20,J01EE01
112045,Sulfotrim Forte,tabletter,,50 stk.,28100954177,,,50,J01EE01
112052,Pirkam,kapsler,20 mg,100 stk.,28101352789,20,MG,100,M01AC01
112056,Eklira Genuair,inhalationspulver,322 mikrogram,180 doser (3 x 60),28104957711,322,RG,180,R03BB05
112060,Trimonil Retard,depottabletter,600 mg,100 stk.,28101222785,600,MG,100,N03AF01
112086,Trimonil Retard,depottabletter,600 mg,250 stk.,28101222785,600,MG,250,N03AF01
112095,"Simvastatin ""Alternova""",filmovertrukne tabletter,80 mg,98 stk. (blister),28103633804,80,MG,98,C10AA01
112128,Serepax,tabletter,15 mg,30 stk. (blister),28100461564,15,MG,30,N05BA04
112129,ReoPro,injektions-/infusionsvæske,2 mg/ml,5 ml,28101595394,2,MGM,5,B01AC13
112185,"Methotrexate ""Pfizer""",injektions-/infusionsvæske,25 mg/ml,20 ml,28101593694,25,MGM,20,L01BA01
112191,Adempas,filmovertrukne tabletter,1 mg,42 stk. (blister),28105247013,1,MG,42,C02KX05
112197,Diclin,"kapsler, hårde",250 mg,30 stk.,28103122812,250,MG,30,J01CF01
112229,"Montelukast ""Accord""",tyggetabletter,5 mg,28 stk. (blister),28104619709,5,MG,28,R03DC03
112231,"Oxaliplatin ""Ebewe""","pulver til infusionsvæske, opløsning",5 mg/ml,1 htgl. a  100 mg (20 ml),28103933706,5,MGM,100,L01XA03
112234,Espacox,oral suspension,50 mg/ml,1000 ml,28105242713,50,MGM,1000,QP51AJ01
112236,Emselex,depottabletter,15 mg,98 stk. (blister),28103535703,15,MG,98,G04BD10
112240,Primperan,suppositorier,20 mg,5 stk. (blister),28104066207,20,MG,5,A03FA01
112249,Tiamutin Vet.,oral opløsning,125 mg/ml,1000 ml,28104173907,125,MGM,1000,QJ01XQ01
112258,Tiamutin Vet.,oral opløsning,125 mg/ml,1/10 af: 10.000 ml (10 x 1000),28104173907,125,MGM,1000,QJ01XQ01
112267,Tiamutin Vet.,oral opløsning,125 mg/ml,1/5 af: 5000 ml (5 x 1000),28104173907,125,MGM,1000,QJ01XQ01
112277,Tiamutin Vet.,oral opløsning,125 mg/ml,5000 ml (5 x 1000),28104173907,125,MGM,5000,QJ01XQ01
112286,Tiamutin Vet.,oral opløsning,125 mg/ml,10.000 ml (10 x 1000),28104173907,125,MGM,10000,QJ01XQ01
112292,Cortesal,creme,"0,5%",20 g,28100982878,0.5,PC,20,D07XA01
112295,"Omeprazol ""Vian""","pulver og solvens til injektionsvæske, opløsning",40 mg,1 sæt,28103826205,40,MG,1,A02BC01
112300,Cortesal,creme,"0,5%",50 g,28100982878,0.5,PC,50,D07XA01
112326,Penicillinprokain Rosco Vet.,injektionsvæske,200.000 IE/ml,1 htgl. a 50 ml,28100151155,200000,IUM,50,QJ01CE09
112334,Penicillinprokain Rosco Vet.,injektionsvæske,200.000 IE/ml,12 htgl. a 50 ml,28100151155,200000,IUM,600,QJ01CE09
112359,Garamycin,øjendråber,"0,3 %",Plastfl. a 5 ml,28100676775,0.3,PC,5,S01AA11
112374,Ancozan Comp,filmovertrukne tabletter,100+25 mg,30 stk. (blister),28104155707,0,,30,C09DA01
112381,EpiPen,"injektionsvæske, opløsning","0,3 mg/dosis",1 stk.,28104995911,0.3,MGD,1,C01CA24
112386,Symbicort Forte Turbohaler,inhalationspulver,9+320 mikrog./dosis,60 doser,28104197107,,,60,R03AK07
112395,Symbicort Forte Turbohaler,inhalationspulver,9+320 mikrog./dosis,180 doser,28104197107,,,180,R03AK07
112404,"Methotrexat ""Ebewe""","koncentrat til infusionsvæske, opløsning",100 mg/ml,5 x 10 ml,28101948197,100,MGM,50,L01BA01
112433,Citanest,gel,2%,10x10x20 g,28100963777,2,PC,2000,N01BB04
112441,Mindiab,tabletter,"2,5 mg",100 stk.,28100998578,2.5,MG,100,A10BB07
112458,Mindiab,tabletter,"2,5 mg",250 stk.,28100998578,2.5,MG,250,A10BB07
112459,"Ondansetron ""B. Braun""","injektionsvæske, opløsning",2 mg/ml,5 x 2 ml,28104058806,2,MGM,10,A04AA01
112466,Rohypnol,tabletter,1 mg,30 stk.,28101061681,1,MG,30,N05CD03
112468,"Ondansetron ""B. Braun""","injektionsvæske, opløsning",2 mg/ml,5 x 4 ml,28104058806,2,MGM,20,A04AA01
112474,Rohypnol,tabletter,1 mg,100 stk.,28101061681,1,MG,100,N05CD03
112490,Ventoline,inhalationspulver,"0,2 mg i rotacaps",100 stk.,28101024079,0.2,MG,100,R03AC02
112508,Ventoline,inhalationspulver,"0,4 mg i rotacaps",100 stk.,28101023979,0.4,MG,100,R03AC02
112516,Donobid,tabletter,250 mg,20 stk.,28100914877,250,MG,20,N02BA11
112523,Onsior,tabletter,40 mg,7 stk. (blister),28104085907,40,MG,7,QM01AH91
112524,Donobid,tabletter,250 mg,50 stk.,28100914877,250,MG,50,N02BA11
112567,Eucreas,filmovertrukne tabletter,50+1000 mg,180 stk. (blister) (PharmaCoDane),28104080807,,,180,A10BD08
112609,Sandimmun Neoral,"kapsler, bløde",50 mg,50 stk. (blister),28104653410,50,MG,50,L04AD01
112615,Discotrine,depotplastre,15 mg/24 timer,30 stk.,28101415490,15,MGH,30,C01DA02
112623,Dumozolam,resoribletter,"0,1 mg",10 stk. (blister),28101475991,0.1,MG,10,N05CD05
112631,Dumozolam,resoribletter,"0,1 mg",30 stk. (blister),28101475991,0.1,MG,30,N05CD05
112632,"Alendronat ""Ranbaxy""",tabletter,70 mg,4 stk. (blister),28103927406,70,MG,4,M05BA04
112641,"Alendronat ""Ranbaxy""",tabletter,70 mg,12 stk. (blister),28103927406,70,MG,12,M05BA04
112649,Dumozolam,resoribletter,"0,1 mg",100 stk.(blister),28101475991,0.1,MG,100,N05CD05
112659,Cosmofer,"injektions-/infusionsvæske, opløsning",50 mg/ml,2 x 10 ml,28103049598,50,MGM,20,B03AC06
112663,Ciqorin,"kapsler, bløde",100 mg,50 stk. (blister),28105045312,100,MG,50,L04AD01
112695,"Naloxon ""Hameln""","injektionsvæske, opløsning","0,4 mg/ml",10 x 1 ml,28104878811,0.4,MGM,10,V03AB15
112704,"Quetiapin ""KRKA""",filmovertrukne tabletter,25 mg,100 stk. (blister),28103996306,25,MG,100,N05AH04
112713,"Quetiapin ""KRKA""",filmovertrukne tabletter,100 mg,100 stk. (blister),28103996406,100,MG,100,N05AH04
112723,"Quetiapin ""KRKA""",filmovertrukne tabletter,100 mg,30 stk. (blister),28103996406,100,MG,30,N05AH04
112725,Vectibix,"koncentrat til infusionsvæske, opløsning",20 mg/ml,20 ml,28103945506,20,MGM,20,L01XC08
112732,"Quetiapin ""KRKA""",filmovertrukne tabletter,200 mg,100 stk. (blister),28103996606,200,MG,100,N05AH04
112750,"Quetiapin ""KRKA""",filmovertrukne tabletter,300 mg,100 stk. (blister),28103996706,300,MG,100,N05AH04
112771,Penicillinprokain Rosco Vet.,injektionsvæske,200.000 IE/ml,12 htgl. a 100 ml,28100151155,200000,IUM,1200,QJ01CE09
112789,Cisordinol,tabletter,25 mg,100 stk.,28101703494,25,MG,100,N05AF05
112813,Clinoril,tabletter,100 mg (Paranova),100 stk.,28101710994,100,MG,100,M01AB02
112839,Serepax,tabletter,15 mg,50 stk.,28100461564,15,MG,50,N05BA04
112859,"Oxaliplatin ""Ebewe""","pulver til infusionsvæske, opløsning",5 mg/ml,1 htgl a 50 mg (10 ml),28103933706,5,MGM,50,L01XA03
112870,Serepax,tabletter,15 mg,100 stk.,28100461564,15,MG,100,N05BA04
112877,Kreon 10.000,"enterokapsler, hårde",Lipase 10.000 EP-e,100 stk.,28104523509,10000,EP,100,A09AA02
112886,Telfast,filmovertrukne tabletter,180 mg,15 stk. (blister),28104143207,180,MG,15,R06AX26
112888,Aldactazide,tabletter,,50 stk.,28100964277,,,50,C03EA01
112904,Telfast,filmovertrukne tabletter,180 mg,105 stk. (blister),28104143207,180,MG,105,R06AX26
112912,Helmatac Vet.,pulver,300 MG/G,50 x 20 g,28101103182,300,MGG,1000,QP52AC03
112920,Voltaren Retard,depottabletter,100 mg,10 stk.,28101066181,100,MG,10,M01AB05
112953,Aminess,tabletter,,300 stk.,28100606672,,,300,V06DD
112958,Dolagis,tabletter,50 mg,20 stk. (blister),28103962906,50,MG,20,QM01AE91
112967,Dolagis,tabletter,50 mg,100 stk. (blister),28103962906,50,MG,100,QM01AE91
112985,"Doxycyclin ""2care4"" Vet.",oralt pulver,750 mg/g,1000 g,28104206707,750,MGG,1000,QJ01AA02
113030,"Simvastatin ""Sandoz""",filmovertrukne tabletter,20 mg,250 stk,28103835805,20,MG,250,C10AA01
113039,"Simvastatin ""Sandoz""",filmovertrukne tabletter,40 mg,250 stk.,28103836005,40,MG,250,C10AA01
113043,Voltaren Retard,depottabletter,100 mg,30 stk.,28101066181,100,MG,30,M01AB05
113050,Sparine,tabletter,25 mg,100 stk.,28100948656,25,MG,100,N05AA03
113068,Sparine,tabletter,50 mg,50 stk.,28100948756,50,MG,50,N05AA03
113084,Neogentrol,tabletter,,21 stk.,28100788276,,,21,G03AA07
113092,Neogentrol,tabletter,,3 x 21 stk.,28100788276,,,63,G03AA07
113143,"Aripiprazol ""Krka""",tabletter,30 mg,56 stk. (blister),28105431514,30,MG,56,N05AX12
113183,Ultidine,tabletter,150 mg,20 stk.,28101297887,150,MG,20,A02BA02
113191,Ultidine,tabletter,150 mg,60 stk.,28101297887,150,MG,60,A02BA02
113203,Fexin,brusetabletter,"80,5 mg",3 x 10 stk.,28103998406,80.5,MG,30,B03AA03
113209,Micropaque,mikstur,1 G/ML (PHILIPS),2000 ml,28100784476,1,GML,,V08BA01
113212,Fexin,brusetabletter,"80,5 mg",3 x 30 stk.,28103998406,80.5,MG,90,B03AA03
113217,Neogentrol,tabletter,,6 x 21 stk.,28100788276,,,126,G03AA07
113225,Clinoril,tabletter,200 mg (Paranova),100 stk.,28101711094,200,MG,100,M01AB02
113230,"Simvastatin ""Alternova""",filmovertrukne tabletter,80 mg,100 stk. (blister),28103633804,80,MG,100,C10AA01
113247,Xiapex,"pulver og solvens til injektionsvæske, opløsning","0,9 mg",1 stk.,28104638410,0.9,MG,1,M09AB02
113257,"Sertralin ""Actavis""",filmovertrukne tabletter,50 mg,28 stk. (blister),28103910306,50,MG,28,N06AB06
113267,"Sertralin ""Actavis""",filmovertrukne tabletter,50 mg,98 stk. (blister),28103910306,50,MG,98,N06AB06
113303,"Risperidon ""Stada""",filmovertrukne tabletter,1 mg,60 stk. (blister),28104049606,1,MG,60,N05AX08
113314,"Atorvastatin ""Pfizer""",filmovertrukne tabletter,80 mg,30 stk. (blister),28104742510,80,MG,30,C10AA05
113316,Paracox-8 Vet.,oral suspension til brug i drikkevand og koncentrat til spray suspension,,100 ml (1000 doser),28101561993,,,100,QI01AN01
113330,"Azathioprin ""Arrow""",filmovertrukne tabletter,50 mg,100 stk. (blister),28103591603,50,MG,100,L04AX01
113331,"Dexametason ""Abcur""",tabletter,1 mg,20 stk. (blister),28105008911,1,MG,20,H02AB02
113340,Verucid,gel,110+40 mg/g,Tube a 5 g,28100833680,,,5,D11AF
113344,"Losartankalium/hydrochlorthiazid ""Actavis""",filmovertrukne tabletter,"50 mg+12,5 mg",30 stk. (blister),28104508209,0,,30,C09DA01
113357,"Folinsyre ""COLLETT""",tabletter,"0,1 MG",100 stk.,28100694576,0.1,MG,100,B03BB01
113365,Verucid,kutanopløsning,,10 ml,28100833780,,,10,D11AF
113369,Oestring,vaginalindlæg,"7,5 mikrog./24 timer",1 stk.,28105406914,7.5,RGH,1,G03CA03
113394,Eucreas,filmovertrukne tabletter,50+850 mg,60 stk. (blister),28104080707,,,60,A10BD08
113403,Eucreas,filmovertrukne tabletter,50+850 mg,180 stk. (blister),28104080707,,,180,A10BD08
113412,Eucreas,filmovertrukne tabletter,50+1000 mg,60 stk. (blister),28104080807,,,60,A10BD08
113415,Klexane,"injektionsvæske, opløsning, fyldt injektionssprøjte",100 mg/ml,"10 x 0,2 ml (engangssprøjter)",28101311887,100,MGM,2,B01AB05
113421,Eucreas,filmovertrukne tabletter,50+1000 mg,180 stk. (blister),28104080807,,,180,A10BD08
113423,Ultidine,tabletter,300 mg,30 stk.,28101297987,300,MG,30,A02BA02
113430,Voltaren Dolo,filmovertrukne tabletter,"12,5 mg",10 stk. (blister),28101848396,12.5,MG,10,M01AB05
113456,Eldepryl,tabletter,5 mg,100 stk. (blister),28101702994,5,MG,100,N04BD01
113462,Fleet Klar-til-brug,"rektalvæske, opløsning",,1 stk.,28105335813,0,,1,A06AG01
113472,Elocon,liniment,"0,1%",20 ml,28101711494,0.1,PC,20,D07AC13
113480,Miraxid,tabletter,,20 stk.,28101104882,,,20,J01CA20
113522,Innohep,"injektionsvæske, opløsning, fyldt injektionssprøjte",20.000 anti-Xa IE/ml,"6 x 0,5 ml",28101781895,20000,XAM,1,B01AB10
113523,"Lansoprazol ""Mylan""","enterokapsler, hårde",15 mg,56 stk. (blister),28103712104,15,MG,56,A02BC03
113548,Doktacillin,"pulver til injektionsvæske, opløsning",1 g,5 htgl.,28100577970,1,HT,5,J01CA01
113571,Doktacillin,"pulver til injektionsvæske, opløsning",1 g,50 htgl. (10x5),28100577970,1,HT,50,J01CA01
113605,Denagard Vet.,oralt pulver,20 mg/g,5 kg,28101170783,20,MGG,5,QJ01XQ01
113606,HBVAXPRO,"injektionsvæske, suspension",10 mikrogram/1 ml,1 stk.,28103201400,,,1,J07BC01
113609,HBVAXPRO,"injektionsvæske, suspension",10 mikrogram/1 ml,1 ml,28103201400,,,,J07BC01
113621,Novaluzid,tyggetabletter,265 mg + 195 mg,30 stk.,28100999578,,,30,A02AD01
113639,Novaluzid,tyggetabletter,265 mg + 195 mg,100 stk.,28100999578,,,100,A02AD01
113647,Novaluzid,tyggetabletter,265 mg + 195 mg,250 stk.,28100999578,,,250,A02AD01
113648,"Methylphenidate ""Sandoz""",depottabletter,27 mg,30 stk.,28104966611,27,MG,30,N06BA04
113663,Zyprexa Velotab,smeltetabletter,10 mg,28 stk. (blister) (Abacus),28103087799,10,MG,28,N05AH03
113685,Zyprexa Velotab,smeltetabletter,5 mg,28 stk. (blister) (Abacus),28103087699,5,MG,28,N05AH03
113704,Klexane,"injektionsvæske, opløsning, fyldt injektionssprøjte",100 mg/ml,"10 x 0,4 ml (engangssprøjter)",28101311887,100,MGM,4,B01AB05
113746,Fucidin,filmovertrukne tabletter,250 mg,20 stk. (blister),28100399462,250,MG,20,J01XC01
113753,Fucidin,filmovertrukne tabletter,250 mg,40 stk. (blister),28100399462,250,MG,40,J01XC01
113761,Fucidin,filmovertrukne tabletter,250 mg,100 stk.,28100399462,250,MG,100,J01XC01
113777,"Sulfasalazin ""Hexal""",enterotabletter,500 mg,300 stk.,28103531403,500,MG,300,A07EC01
113779,Dulcolax,enterotabletter,5 mg,25 stk.,28100232757,5,MG,25,A06AB02
113803,Decaris Vet.,injektionsvæske,75 mg/ml,10 htgl. a 100 ml,28100606972,75,MGM,1000,QP52AE01
113818,Tasigna,"kapsler, hårde",200 mg,112 stk.,28104024206,200,MG,112,L01XE08
113829,"A-c-d-vitamin ""DAK""",dråber,,10 ml,28100700776,,,10,A11JA
113837,Innohep,"injektionsvæske, opløsning, fyldt injektionssprøjte",20.000 anti-Xa IE/ml,"6 x 0,7 ml",28101781895,20000,XAM,4.2,B01AB10
113845,Innohep,"injektionsvæske, opløsning, fyldt injektionssprøjte",20.000 anti-Xa IE/ml,"6 x 0,9 ml",28101781895,20000,XAM,1,B01AB10
113872,Vesicare,filmovertrukne tabletter,5 mg,90 stk. (blister),28105198912,5,MG,90,G04BD08
113885,Firdapse,tabletter,10 mg,100 stk. (blister),28104386308,10,MG,100,N07XX05
113936,Dulcolax,enterotabletter,5 mg,100 stk.,28100232757,5,MG,100,A06AB02
113951,Seloken Duretter,depottabletter,200 MG,100 stk.,28101143483,200,MG,100,C07AB02
113964,Extraneal Clear-Flex,peritonealdialysevæske,75 mg/ml,4 x 2500 ML GPE4945,28103163400,75,MGM,10000,B05DA
113969,Seloken Duretter,depottabletter,200 MG,250 stk.,28100992178,200,MG,250,C07AB02
113975,Inexium,enterotabletter,20 mg,14 stk. (blister),28104168107,20,MG,14,A02BC05
113986,Inexium,enterotabletter,20 mg,28 stk. (blister),28104168107,20,MG,28,A02BC05
113993,Robinul-Neostigmin,"injektionsvæske, opløsning","0,5 + 2,5 mg/ml",10 x 1 ml,28101305987,,,10,N07AA51
113997,Inexium,enterotabletter,20 mg,56 stk. (blister),28104168107,20,MG,56,A02BC05
114008,Inexium,enterotabletter,20 mg,98 stk. (blister),28104168107,20,MG,98,A02BC05
114013,"Pantoprazol ""Takeda""",enterotabletter,20 mg,14 stk. (blister),28104204207,20,MG,14,A02BC02
114017,Dulcolax,enterotabletter,5 mg,250 stk.,28100232757,5,MG,250,A06AB02
114019,Kaletra,filmovertrukne tabletter,100+25 mg,60 stk.,28104153607,,,60,J05AR10
114034,"Olanzapin ""PCD""",filmovertrukne tabletter,5 mg,28 stk. (blister),28104295708,5,MG,28,N05AH03
114041,"Atenolol ""Orifarm""",tabletter,100 mg,30 stk.,28101328688,100,MG,30,C07AB03
114082,"Atenolol ""Orifarm""",tabletter,100 mg,100 stk.,28101328688,100,MG,100,C07AB03
114090,Lanzo,enterokapsler,15 mg,14 stk. (blister),28101780995,15,MG,14,A02BC03
114103,Minirinmelt,smeltetabletter,60 mikg,100 stk. (blister),28104735010,60,RG,100,H01BA02
114116,"Atenolol ""Orifarm""",tabletter,25 mg,30 stk.,28101328488,25,MG,30,C07AB03
114124,Melleril,mikstur,5 mg/ml,200 ml,28101027279,5,MGM,200,N05AC02
114134,Helixate NexGen,"pulver og solvens til injektionsvæske, opløsning",250 IE,1 stk.,28103055899,250,IU,1,B02BD02
114157,Xatral,depottabletter,5 mg,180 stk. (blister),28101545093,5,MG,180,G04CA01
114164,"Natriumklorid ""B. Braun""",solvens til parenteral anvendelse,9 mg/ml,20 x 10 ml,28101304087,9,MGM,200,V07AB
114173,Lanzo,enterokapsler,15 mg,56 stk. (blister),28101780995,15,MG,56,A02BC03
114175,"Natriumklorid ""B. Braun""",solvens til parenteral anvendelse,9 mg/ml,20 x 20 ml,28101304087,9,MGM,400,V07AB
114181,"Atenolol ""Orifarm""",tabletter,25 mg,100 stk.,28101328488,25,MG,100,C07AB03
114186,Meronem,"pulver til injektions- og infusionsvæske, opløsning",1000 mg,10 htgl.,28104134907,1000,MG,10,J01DH02
114199,"Atenolol ""Orifarm""",tabletter,50 mg,30 stk.,28101328588,50,MG,30,C07AB03
114207,Canazol,creme,1%,1 tube a 20 g,28101393590,1,PC,20,D01AC01
114208,Meronem,"pulver til injektions- og infusionsvæske, opløsning",500 mg,10 htgl.,28104134807,500,MG,10,J01DH02
114217,"Almotriptan ""Sandoz""",filmovertrukne tabletter,"12,5 mg",3 stk. (blister),28105020112,12.5,MG,3,N02CC05
114231,Estraderm,depotplastre,25 mikg/24 timer,24 stk.,28101709894,25,RGH,24,G03CA03
114235,"Montelukast ""Accord""",tyggetabletter,4 mg,28 stk. (blister),28104619609,4,MG,28,R03DC03
114241,Betaloc ZOK,depottabletter,100 mg,98 stk. (blister),28104147507,100,MG,98,C07AB02
114266,Pantoloc,enterotabletter,40 mg,100 stk.,28101927197,40,MG,100,A02BC02
114272,"Atenolol ""Orifarm""",tabletter,50 mg,100 stk.,28101328588,50,MG,100,C07AB03
114274,"Cetirizin ""BMM Pharma""",filmovertrukne tabletter,10 mg,10 stk. (blister),28103728904,10,MG,10,R06AE07
114285,"Cetirizin ""BMM Pharma""",filmovertrukne tabletter,10 mg,30 stk. (blister),28103728904,10,MG,30,R06AE07
