vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
87727,Elocon,Elocon,kutanoplÃ¸sning,0.10%,100 ml,28101401390,0.100,PC,"100,000"
87730,Cevazuril,Cevazuril,oral suspension,50 mg/ml,250 ml,28104292808,"50,000",MGM,"250,000"
87732,Isovorin,Isovorin,tabletter,"7,5 mg",10 stk. (blister),28104107507,"7,500",MG,"10,000"
87734,Unixan,Unixan,depottabletter,400 mg,100 stk.,28101164083,"400,000",MG,"100,000"
87737,"Bisoprolol ""Orifarm""","Bisoprolol ""Orifarm""",tabletter,"2,5 mg",30 stk. (blister),28104316808,"2,500",MG,"30,000"
87743,Cevazuril,Cevazuril,oral suspension,50 mg/ml,1000 ml,28104292808,"50,000",MGM,"1,000,000"
87754,Nuflor Vet,Nuflor Vet,oralt pulver,40 mg/g,3 kg,28104493109,"40,000",MGG,"3,000"
87759,Pergotime,Pergotime,tabletter,50 mg,5 stk.,28101195184,"50,000",MG,"5,000"
87765,Gripovac 3,Gripovac 3,"injektionsvÃ¦ske, suspension, i.m.",2 ml,50 ml,28104485509,"2,000",ML,"50,000"
87779,Hjertemagnyl,aspirin,filmovertrukne tabletter,150 mg,66 stk.,28103489203,"150,000",MG,"66,000"
87791,Roaccutan,Roaccutane,"kapsler, blÃ¸de",10 mg,100 stk.,28101187084,"10,000",MG,"100,000"
87792,"Sumatriptan ""Actavis""","Sumatriptan ""Actavis""",overtrukne tabletter,100 mg,12 stk. (blister),28104079007,"100,000",MG,"12,000"
87825,Iopamiro,Iopamiro,injektionsvÃ¦ske,200 mg jod/ml,5 htgl. a 10 ml,28101205885,"200,000",MJM,"50,000"
87832,"Bicalutamid ""Actavis""","Bicalutamide ""Actavis""",filmovertrukne tabletter,50 mg,30 stk. (blister),28104028106,"50,000",MG,"30,000"
87833,Iopamiro,Iopamiro,injektionsvÃ¦ske,200 mg jod/ml,5 htgl. a 20 ml,28101205885,"200,000",MJM,"100,000"
87841,Mizollen,Mizollen,tabletter med modificeret udlÃ¸sning,10 mg,30 stk. (blister),28101800896,"10,000",MG,"30,000"
87842,"Glimepirid ""Teva""","Glimepiride ""Teva""",tabletter,1 mg,30 stk. (blister),28103602803,"1,000",MG,"30,000"
87846,"Tolterodin ""Pfizer""","Tolterodine ""Pfizer""","depotkapsler, hÃ¥rde",2 mg,28 stk. (blister),28104810610,"2,000",MG,"28,000"
87851,"Glimepirid ""Teva""","Glimepiride ""Teva""",tabletter,1 mg,90 stk. (blister),28103602803,"1,000",MG,"90,000"
87858,Iopamiro,Iopamiro,injektionsvÃ¦ske,200 mg jod/ml,10 htgl. a 50 ml,28101205885,"200,000",MJM,"500,000"
87860,"Glimepirid ""Teva""","Glimepiride ""Teva""",tabletter,2 mg,90 stk. (blister),28103602903,"2,000",MG,"90,000"
87869,"Glimepirid ""Teva""","Glimepiride ""Teva""",tabletter,3 mg,90 stk. (blister),28103603003,"3,000",MG,"90,000"
87874,Dogmatil,Dogmatil,tabletter,200 mg,1000 stk. (10x100),28100685375,"200,000",MG,"1,000,000"
87878,"Glimepirid ""Teva""","Glimepiride ""Teva""",tabletter,4 mg,90 stk. (blister),28103603103,"4,000",MG,"90,000"
87882,Micropaque,Micropaque,pulver til oral suspension,96%,20 x 208 g,28100853384,"96,000",PC,"4,160,000"
87890,Lucopenin,Lucopenin,"pulver til injektionsvÃ¦ske, oplÃ¸sning",1 g,10 htgl.,28101130983,"1,000",G,"10,000"
87896,Cepetor Vet.,Cepetor Vet.,"injektionsvÃ¦ske, oplÃ¸sning",1 mg/ml,10 ml,28103997006,"1,000",MGM,"10,000"
87902,DesmoMelt,DesmoMelt,smeltetabletter,120 mikg,30 stk. (blister),28104622909,"120,000",RG,"30,000"
87908,Lucopenin,Lucopenin,"pulver til injektionsvÃ¦ske, oplÃ¸sning",1 g,50 htgl. (5x10),28101130983,"1,000",G,"50,000"
87910,"Amoxicillin ""2care4""","Amoxicillin ""2care4""",filmovertrukne tabletter,750 mg,24 stk. (blister),28105199912,"750,000",MG,"24,000"
87913,DesmoMelt,DesmoMelt,smeltetabletter,120 mikg,100 stk. (blister),28104622909,"120,000",RG,"100,000"
87914,Lantus Solo Star,Lantus SoloStar,"injektionsvÃ¦ske, oplÃ¸sning, fyldt pen",100 E/ml,5 x 3 ml,28104219807,"100,000",UML,"15,000"
87916,Betacentyl,Betacentyl,tabletter,,30 stk.,28101055280,,,"30,000"
87923,Apidra Solo Star,Apidra SoloStar,"injektionsvÃ¦ske, oplÃ¸sning, fyldt pen",100 Enheder/ml,5 x 3 ml,28104122307,"100,000",UML,"15,000"
87924,Betacentyl,Betacentyl,tabletter,,100 stk.,28101055280,,,"100,000"
87932,Gaviscon,Gaviscon,tyggetabletter,,20 stk. (blister),28100656774,,,"20,000"
87940,"Natriumklorid Isotonisk ""DAK""","Sodium Isotonic ""DAK""",skyllevÃ¦ske,0.90%,10 x 1000 ml (topforseglet),28100737876,0.900,PC,"10,000,000"
87957,Glyoktyl,Glyoktyl,klysma,6 + 770 mg/ml,"1 sprÃ¸jte a 7,5 ml",28100717276,,,"7,500"
87965,Glyoktyl,Glyoktyl,klysma,6 + 770 mg/ml,"5 sprÃ¸jter a 7,5 ml",28100717276,,,"37,500"
87969,Cortavance,Cortavance,"kutanspray, oplÃ¸sning","0,584 mg/ml",1 x 76 ml,28103862605,0.584,MGM,"76,000"
87970,DesmoMelt,DesmoMelt,smeltetabletter,240 mikg,30 stk. (blister),28104623009,"240,000",RG,"30,000"
87973,Glyoktyl,Glyoktyl,klysma,6 + 770 mg/ml,"15 x 7,5 ml",28100717276,,,"112,500"
87974,Rispolept Consta,Rispolept Consta,"depotinjektionsvÃ¦ske, pulver og solvens til suspension",25 mg,1 sÃ¦t (u/nÃ¥l-del+glu),28105058712,"25,000",MG,"1,000"
87981,Glyoktyl,Glyoktyl,klysma,6 + 770 mg/ml,"100 sprÃ¸jter a 7,5 ml",28100717276,,,"750,000"
87982,DesmoMelt,DesmoMelt,smeltetabletter,240 mikg,100 stk. (blister),28104623009,"240,000",RG,"100,000"
87999,Mizollen,Mizollen,tabletter med modificeret udlÃ¸sning,10 mg,10 stk. (blister),28101800896,"10,000",MG,"10,000"
88005,Suigonan Vet.,Suigonan Vet.,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",400 IE + 200 IE,25 htgl.+ 25 x 5 ml solvens,28100916277,,,"25,000"
88029,Adalat LA,Adalat LA,depottabletter,20 mg,28 stk. (blister),28105058612,"20,000",MG,"28,000"
88052,Azarga,Azarga,"Ã¸jendrÃ¥ber, suspension",10+5 mg/ml,5 ml (Paranova),28104248607,0.000,,"5,000"
88057,"Levetiracetam ""Actavis""","Levetiracetam ""Actavis""",filmovertrukne tabletter,1000 mg,100 stk. (blister),28104780610,"1,000,000",MG,"100,000"
88060,Casodex,Casodex,filmovertrukne tabletter,50 mg,90 stk. (blister),28103396702,"50,000",MG,"90,000"
88069,Persantin,Persantin,overtrukne tabletter,100 mg,50 stk. (blister),28103989406,"100,000",MG,"50,000"
88073,Duramune DAPPi + L Vet.,Duramune DAPPi + L Vet.,"lyofilisat og solvens til injektionsvÃ¦ske, suspension",,25 x 1 dosis,28103801005,0.000,,"25,000"
88086,"Fluconazol ""Fresenius Kabi""","Fluconazole ""Fresenius Kabi""","infusionsvÃ¦ske, oplÃ¸sning",2 mg/ml,10 x 200 ml,28104277108,"2,000",MGM,"2,000,000"
88094,Avamys,Avamys,"nÃ¦sespray, suspension","27,5 mikrogram",120 doser (Singad Pharma),28103990906,"27,500",RG,"120,000"
88096,Nozinan,Nozinan,tabletter,5 mg,100 stk.,28101702394,"5,000",MG,"100,000"
88105,Zoladex LA,Zoladex LA,implantat,"10,8 mg",1 stk.,28104576609,"10,800",MG,"1,000"
88112,Abboticin,Abboticin,granulat til oral suspension,100 mg/ml,50 ml,28101191784,"100,000",MGM,"50,000"
88122,"Medicinsk Luft ""Air Liquide"" 100 %","Medical Air ""Air Liquide"" 100%","medicinsk gas, komprimeret",100%,"4 l (stÃ¥l., pin)",28104922711,"100,000",PC,"4,000"
88124,Seroquel,Seroquel,filmovertrukne tabletter,300 mg,100 stk. (blister),28104044206,"300,000",MG,"100,000"
88133,Fucidine,Fucidine,filmovertrukne tabletter,250 mg,96 stk. (blister),28103990306,"250,000",MG,"96,000"
88145,"Pantoprazol ""Pensa""","Pantoprazole ""Pensa""",enterotabletter,40 mg,56 stk. (blister),28104385708,"40,000",MG,"56,000"
88151,Abilify,Abilify,smeltetabletter,10 mg,28 stk. (blister) (Orifarm),28103686004,"10,000",MG,"28,000"
88160,Abilify,Abilify,smeltetabletter,15 mg,28 stk. (blister) (Orifarm),28103686104,"15,000",MG,"28,000"
88169,Abilify,Abilify,tabletter,30 mg,28 stk. (blister) (Orifarm),28103334401,"30,000",MG,"28,000"
88173,Flutide Forte Diskus,Flutide Forte Diskus,inhalationspulver,500 mikrog i diskos,60 doser,28104615809,"500,000",RG,"60,000"
88187,Lucosil,Lucosil,creme,2.50%,20 tuber a 50 g,28100996955,"2,500",PC,"1,000,000"
88189,Ventolin,Ventolin,inhalationspulver,"0,2 mg i diskos",60 doser,28105168612,0.200,MG,"60,000"
88195,Mycospor,Mycospor,creme,10 mg/g,15 g,28101101482,"10,000",MGG,"15,000"
88196,Famvir,Famvir,filmovertrukne tabletter,500 mg,21 stk. (blister),28104590309,"500,000",MG,"21,000"
88206,Hiprabovis Pneumos,Hiprabovis Pneumos,"injektionsvÃ¦ske, emulsion",,20 ml (10 doser),28103992006,,,"20,000"
88219,"Lacidipin ""Teva""","Lacidipine ""Teva""",filmovertrukne tabletter,2 mg,98 stk. (blister),28104565209,"2,000",MG,"98,000"
88229,Oruvail,Oruvail,injektionsvÃ¦ske,50 mg/ml,5 amp. a 2 ml,28101336288,"50,000",MGM,"10,000"
88231,Orfiril Long,Orfiril Long,"depotkapsler, hÃ¥rde",300 mg,100 stk. (blister),28105243113,"300,000",MG,"100,000"
88235,Yasmin 28,Yasmin 28,filmovertrukne tabletter,3 mg + 30 mikrogram,84 stk. (3 x 28 stk.) (blister),28103158600,0.000,,"84,000"
88237,Mycospor,Mycospor,kutanoplÃ¸sning,10 mg/g,15 ml,28101101682,"10,000",MGG,"15,000"
88245,"Mannitol ""Fresenius Kabi""","Mannitol ""Fresenius Kabi""","infusionsvÃ¦ske, oplÃ¸sning",150 mg/ml,15 x 500 ml,28100675475,"150,000",MGM,"7,500,000"
88260,"Cimetidin ""Hexal""","Cimetidine ""Hexal""",filmovertrukne tabletter,400 mg,30 stk.,28101126883,"400,000",MG,"30,000"
88261,Avamys,Avamys,"nÃ¦sespray, suspension","27,5 mikrogram",120 doser,28103990906,"27,500",RG,"120,000"
88270,Lantus Optiset,Lantus OptiSet,"injektionsvÃ¦ske, oplÃ¸sning, enkeltdosisbeholder",100 E/ml,5 x 3 ml,28103247201,"100,000",UML,"15,000"
88278,Nozinan,Nozinan,tabletter,100 mg,100 stk.,28101702494,"100,000",MG,"100,000"
88293,"Valsartan ""Orion""","Valsartan ""Orion""",filmovertrukne tabletter,160 mg,98 stk. (blister),28104748010,,,"98,000"
88297,"Enalapril ""Vitabalans""","Enalapril ""Vitabalans""",tabletter,5 mg,100 stk,28104385208,"5,000",MG,
88302,Tracel,TRACEL,"koncentrat til infusionsvÃ¦ske, oplÃ¸sning",,10 amp. a 10 ml,28101253786,,,"100,000"
88310,Relifex,Relifex,oplÃ¸selige tabletter,1 g,20 stk.,28101505292,"1,000",G,"20,000"
88315,"Enalapril ""Vitabalans""","Enalapril ""Vitabalans""",tabletter,10 mg,100 stk. (blister),28104385308,"10,000",MG,"100,000"
88324,"Enalapril ""Vitabalans""","Enalapril ""Vitabalans""",tabletter,20 mg,30 stk. (blister),28104385408,"20,000",MG,"30,000"
88328,Relifex,Relifex,oplÃ¸selige tabletter,1 g,100 stk.,28101505292,"1,000",G,"100,000"
88333,"Enalapril ""Vitabalans""","Enalapril ""Vitabalans""",tabletter,20 mg,100 stk. (blister),28104385408,"20,000",MG,"100,000"
88343,Pantoloc Control,Pantoloc Control,enterotabletter,20 mg,7 stk. (blister),28104451608,"20,000",MG,"7,000"
88346,Fycompa,Fycompa,filmovertrukne tabletter,2 mg,7 stk. (blister) (Paranova),28104930811,"2,000",MG,"7,000"
88354,Pantoloc Control,Pantoloc Control,enterotabletter,20 mg,14 stk. (blister),28104451608,"20,000",MG,"14,000"
88384,"Azithromycin ""Stada""","Azithromycin ""Stada""",filmovertrukne tabletter,500 mg,2 stk. (blister),28104485409,"500,000",MG,"2,000"
88385,Primperan,Primperan,tabletter,10 mg,20 stk.,28100542868,"10,000",MG,"20,000"
88393,Primperan,Primperan,suppositorier,20 mg,6 stk.,28100591671,"20,000",MG,"6,000"
88401,Imadrax,Imadrax,filmovertrukne tabletter,500 mg,4 stk.,28101392390,"500,000",MG,"4,000"
88409,"Lisinopril hydrochlorthiazid ""ratiopharm""","Lisinopril Hydrochlorothiazide ""ratiopharm""",tabletter,"10+12,5 mg",100 stk. (blister),28103393502,,,"100,000"
88420,"Lisinopril hydrochlorthiazid ""ratiopharm""","Lisinopril Hydrochlorothiazide ""ratiopharm""",tabletter,"20+12,5 mg",100 stk. (blister),28103393702,,,"100,000"
88438,"Protaminsulfat ""LEO Pharma""","Protaminsulfat ""LEO Pharma""","injektions-/infusionsvÃ¦ske, oplÃ¸sning",10 mg/ml,5 x 5 ml,28104925511,"10,000",MGM,"25,000"
88445,"Aripiprazol ""Krka""","Aripiprazole ""Krka""",tabletter,15 mg,56 stk. (blister),28105431414,"15,000",MG,"56,000"
88450,Furese,Furese,injektionsvÃ¦ske,10 mg/ml,125 x 10 x 2 ml,28101345488,"10,000",MGM,"2,500,000"
88468,Furese,Furese,injektionsvÃ¦ske,10 mg/ml,3 x 100 x 4 ml,28101345488,"10,000",MGM,"1,200,000"
88478,Cotareg,Cotareg,filmovertrukne tabletter,"160 mg+12,5 mg",98 stk. (blister),28103892206,,,"98,000"
88500,Terfex,Terfex,tabletter,60 mg,20 stk.,28101473691,"60,000",MG,"20,000"
88520,Brilique,Brilique,filmovertrukne tabletter,90 mg,100 stk. (blister) (Paranova),28104617409,"90,000",MG,"100,000"
88558,Brintellix,Brintellix,filmovertrukne tabletter,15 mg,28 stk. (blister),28105175212,"15,000",MG,"28,000"
88559,Imigran,Imigran,suppositorier,25 mg,30 stk. (blister),28101845496,"25,000",MG,"30,000"
88577,Avelox,Avelox,filmovertrukne tabletter,400 mg,5 stk. (blister),28104591809,"400,000",MG,"5,000"
88578,Verminator,Verminator,oral emulsion,100 mg/g,5 x 100 g,28103879005,"100,000",MGG,"500,000"
88588,Avelox,Avelox,filmovertrukne tabletter,400 mg,7 stk. (blister),28104591809,"400,000",MG,"7,000"
88605,AquaVac Vibrio Oral Vet.,Aquavac Vibrio Oral Vet.,oral emulsion,,1000 ml,28103916106,,,"1,000,000"
88610,Losapensa Comp.,Losapensa Comp.,filmovertrukne tabletter,"50+12,5 mg",98 stk. (blister),28104009706,,,"98,000"
88612,"Donepezil ""Bluefish""","Donepezil ""Blue Fish""",filmovertrukne tabletter,10 mg,98 stk. (blister),28104874011,"10,000",MG,"98,000"
88634,Losapensa Comp.,Losapensa Comp.,filmovertrukne tabletter,100+25 mg,98 stk. (blister),28104009806,,,"98,000"
88653,Airsalb,Airsalb,"inhalationsspray, suspension",100 mikrogram/dosis,200 doser,28104043406,"100,000",RGD,"200,000"
88660,"Finasterid ""Teva""","Finasteride ""Teva""",filmovertrukne tabletter,5 mg,98 stk. (blister),28104014406,"5,000",MG,"98,000"
88678,Hiprabovis Pneumos,Hiprabovis Pneumos,"injektionsvÃ¦ske, emulsion",,100 ml (50 doser),28103992006,,,"100,000"
88687,Daivobet,Dovobet,gel,"50 mikrog/g+0,5 mg/g",15 g,28104166607,,,"15,000"
88696,Daivobet,Dovobet,gel,"50 mikrog/g+0,5 mg/g",30 g,28104166607,,,"30,000"
88705,Daivobet,Dovobet,gel,"50 mikrog/g+0,5 mg/g",60 g,28104166607,,,"60,000"
88714,Daivobet,Dovobet,gel,"50 mikrog/g+0,5 mg/g",2 x 60 g,28104166607,,,"120,000"
88737,Norvir,Norvir,filmovertrukne tabletter,100 mg,30 stk.,28104456009,"100,000",MG,"30,000"
88773,Cetiprin Novum,Cetiprin Novum,tabletter,200 mg,50 stk. (blister),28101097282,"200,000",MG,"50,000"
88781,Cetiprin Novum,Cetiprin Novum,tabletter,200 mg,100 stk. (blister),28101097282,"200,000",MG,"100,000"
88782,Conoxia 100 %,Oxygen AGA 100%,"medicinsk gas, kryogen",100%,46 l,28103926006,"100,000",PC,"46,000"
88805,"Bicalutamid ""Actavis""","Bicalutamide ""Actavis""",filmovertrukne tabletter,50 mg,100 stk. (blister),28104028106,"50,000",MG,"100,000"
88814,"Bicalutamid ""Actavis""","Bicalutamide ""Actavis""",filmovertrukne tabletter,150 mg,30 stk. (blister),28104028206,"150,000",MG,"30,000"
88834,Veloxa,Veloxa,tyggetabletter,175 mg+504 mg+525 mg,2 stk. (blister),28105074012,0.000,,"2,000"
88844,Ibumax,Ibumax,filmovertrukne tabletter,200 mg,20 stk. (blister),28104657810,"200,000",MG,"20,000"
88850,"Metformin ""Orifarm""","Metformin ""Orifarm""",filmovertrukne tabletter,500 mg,100 stk.,28104352308,"500,000",MG,"100,000"
88856,Iliadin,Iliadin,"nÃ¦sedrÃ¥ber, oplÃ¸sning","0,25 mg/ml","10 x 1 dosis a 0,3 ml",28101041480,0.250,MGM,"3,000"
88861,"Metformin ""Orifarm""","Metformin ""Orifarm""",filmovertrukne tabletter,850 mg,100 stk.,28104352408,"850,000",MG,"100,000"
88864,Iliadin,Iliadin,"nÃ¦sedrÃ¥ber, oplÃ¸sning","0,25 mg/ml","20 x 1 dosis a 0,3 ml",28101041480,0.250,MGM,"6,000"
88872,Iliadin,Iliadin,"nÃ¦sedrÃ¥ber, oplÃ¸sning","0,5 mg/ml","10 x 1 dosis a 0,3 ml",28101041580,0.500,MGM,"3,000"
88873,"Metformin ""Orifarm""","Metformin ""Orifarm""",filmovertrukne tabletter,1000 mg,60 stk.,28104352508,"1,000,000",MG,"60,000"
88880,Iliadin,Iliadin,"nÃ¦sedrÃ¥ber, oplÃ¸sning","0,5 mg/ml","20 x 1 dosis a 0,3 ml",28101041580,0.500,MGM,"6,000"
88887,"Oxcarbazepin ""Mylan""","Oxcarbazepine ""Mylan""",filmovertrukne tabletter,150 mg,100 stk. (blister),28103881705,"150,000",MG,"100,000"
88896,"Oxcarbazepin ""Mylan""","Oxcarbazepine ""Mylan""",filmovertrukne tabletter,300 mg,100 stk. blister),28103881805,"300,000",MG,"100,000"
88898,Creon 25.000,"Creon 25,000","enterokapsler, hÃ¥rde",Lipase 25.000 EP-e,100 stk.,28101420890,"25,000,000",EP,"100,000"
88905,"Oxcarbazepin ""Mylan""","Oxcarbazepine ""Mylan""",filmovertrukne tabletter,600 mg,100 stk. (blister),28103881905,"600,000",MG,"100,000"
88906,Atrinord Vet.,Atrinord Vet.,injektionsvÃ¦ske (vaccine),10.000 enh./ml,10 x 100 ml,28101205585,"10,000,000",UML,"1,000,000"
88909,Rozex,Rozex,gel,0.75%,50 g,28101941297,0.750,PC,"50,000"
88914,Terramycin Prolongatum Vet.,Terramycin Prolongatum Vet.,"injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,6 htgl. a 250 ml,28101020379,"200,000",MGM,"1,500,000"
88917,Novoseven,NovoSeven,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",5 mg,1 sÃ¦t,28105328113,"5,000",MG,"1,000"
88922,Veraloc,Veraloc,tabletter,40 mg,1000 stk. (10x100),28101067781,"40,000",MG,"1,000,000"
88930,Veraloc,Veraloc,tabletter,80 mg,1000 stk. (10x100),28101067881,"80,000",MG,"1,000,000"
88948,Veraloc,Veraloc,tabletter,120 mg,1000 stk. (10x100),28101131883,"120,000",MG,"1,000,000"
88960,Pulmicort Turbohaler,Pulmicort Turbohaler,inhalationspulver,400 mikg/dosis,200 doser,28103747604,"400,000",RGD,"200,000"
88963,Soldactone,Soldactone,injektionssubstans,200 mg,10 amp.,28100555169,"200,000",MG,"10,000"
88969,Avelox,Avelox,"infusionsvÃ¦ske, oplÃ¸sning","1,6 mg/ml",5 x 250 ml,28104083507,"1,600",MGM,"1,250,000"
88975,Harmonet,Harmonet,overtrukne tabletter,75 + 20 mikrogram,3 x 21 stk. (blister),28101693594,,,"63,000"
88989,Progynon,Progynon,tabletter,1 mg,3 x 28 stk. (blister),28100613672,"1,000",MG,"84,000"
89003,Progynon,Progynon,tabletter,2 mg,3 x 28 stk. (blister),28100510166,"2,000",MG,"84,000"
89009,Minulet,Minulet,overtrukne tabletter,75 + 30 mikrogram,3 x 21 stk. (blister),28101292187,,,"63,000"
89011,Ludiomil,Ludiomil,tabletter,25 mg,100 stk.,28101460491,"25,000",MG,"100,000"
89029,Ludiomil,Ludiomil,tabletter,75 mg,100 stk.,28101460591,"75,000",MG,"100,000"
89037,Lopid,Lopid,kapsler,300 mg,100 stk.,28101460391,"300,000",MG,"100,000"
89068,Diprosalic,Diprosalic,kutanoplÃ¸sning,"0,5 + 20 mg/g",60 ml,,,,
89077,M-M-Rvaxpro,M-M-RVAXPRO,"pulver og solvens til injektionsvÃ¦ske, suspension, fyldt injektionssprÃ¸jte",,10 stk.,28103695904,,,"10,000"
89078,Locoid,Locoid,salve,0.10%,Tube a 30 g,28101505092,0.100,PC,"30,000"
89079,Tepadina,Tepadina,"pulver til koncentrat til infusionsvÃ¦ske, oplÃ¸sning",100 mg,1 stk.,28104363108,"100,000",MG,"1,000"
89094,Gaviscon,Gaviscon,tyggetabletter,,120 stk.,28100656774,,,"120,000"
89102,Artz,Artz,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",10 mg/ml,"3 x 2,5 ml (fyldt engangsspr.)",28103028098,"10,000",MGM,"7,500"
89110,"Amoxicillin ""Mylan""","Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,10 stk.,28101689794,"750,000",MG,"10,000"
89114,Celsentri,Celsentri,filmovertrukne tabletter,300 mg,60 stk.,28104060806,"300,000",MG,"60,000"
89128,"Amoxicillin ""Mylan""","Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,20 stk.,28101689794,"750,000",MG,"20,000"
89136,"Amoxicillin ""Mylan""","Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,100 stk.,28101689794,"750,000",MG,"100,000"
89144,"Amoxicillin ""Mylan""","Amoxicillin ""Mylan""",filmovertrukne tabletter,750 mg,14 stk.,28101689794,"750,000",MG,"14,000"
89151,Clinimix N17G35E,Clinimix N17G35E,"infusionsvÃ¦ske, oplÃ¸sning",,4 x 2000 ml,28101773695,,,"8,000,000"
89152,"Amlodipin ""Sandoz""","Amlodipine ""Sandoz""",tabletter,10 mg,100 stk.,28103655504,"10,000",MG,"100,000"
89169,Clinimix N14G30E,Clinimix N14G30E,"infusionsvÃ¦ske, oplÃ¸sning",,4 x 2000 ml,28101773595,,,"8,000,000"
89177,Clinimix N12G20E,Clinimix N12G20E,"infusionsvÃ¦ske, oplÃ¸sning",,4 x 2000 ml,28101773495,,,"8,000,000"
89190,Genotropin,Genotropin,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",5 mg,1 stk. (GoQuick),28103108599,"5,000",MG,"1,000"
89212,Genotropin,Genotropin,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",12 mg,1 stk. (GoQuick),28101465491,"12,000",MG,"1,000"
89224,"Fluoxetin ""2care4""","Fluoxetine ""2care4""",dispergible tabletter,20 mg,30 stk. (blister),28104612709,"20,000",MG,"30,000"
89227,Ebixa,Ebixa,filmovertrukne tabletter,10 mg,100 stk. (blister)(Abacus),28103322501,"10,000",MG,"100,000"
89236,"Fluoxetin ""2care4""","Fluoxetine ""2care4""",dispergible tabletter,20 mg,100 stk. (blister),28104612709,"20,000",MG,"100,000"
89243,Artz,Artz,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",10 mg/ml,"5 x 2,5 ml (fyldt engangsspr.)",28103028098,"10,000",MGM,"12,500"
89268,Ventoline,Ventolin,inhalationspulver,"0,4 mg i rotacaps",112 stk. m. rotahaler,28101429091,0.400,MG,"112,000"
89276,Ventoline,Ventolin,inhalationspulver,"0,4 mg i rotacaps",112 stk.,28101429091,0.400,MG,"112,000"
89284,Ventoline,Ventolin,inhalationspulver,"0,2 mg i rotacaps",112 stk. m. rotahaler,28101428991,0.200,MG,"112,000"
89292,Ventoline,Ventolin,inhalationspulver,"0,2 mg i rotacaps",112 stk.,28101428991,0.200,MG,"112,000"
89300,Orudis,Orudis,suppositorier,100 mg,10 stk.,28101703094,"100,000",MG,"10,000"
89318,Orudis,Orudis,suppositorier,100 mg,5 x 10 stk.,28101703094,"100,000",MG,"50,000"
89323,Mucolysin SkovbÃ¦r,Mucolysin Forest Berries,brusetabletter,200 mg,25 stk.,28103810805,"200,000",MG,"25,000"
89326,Hemodial A,Hemodial A,hÃ¦modialysekoncentrat,,10 liter,28101279086,,,"10,000"
89334,Hemodial B,Hemodial B,hÃ¦modialysekoncentrat,,10 liter,28101279186,,,"10,000"
89341,Mucolysin SkovbÃ¦r,Mucolysin Forest Berries,brusetabletter,200 mg,100 stk.,28103810805,"200,000",MG,"100,000"
89368,Matrifen,Matrifen,depotplastre,25 mikrogram/time,16 stk.,28103902606,"25,000",RGT,"16,000"
89372,Frusamil,Frusamil,tabletter,40 + 5 mg,28 stk. (blister),28101307687,,,"28,000"
89375,Diproderm,Diproderm,creme,0.05%,30 g,28101885897,0.050,PC,"30,000"
89383,Tamofen,Tamofen,tabletter,20 mg,30 stk.,28101171683,"20,000",MG,"30,000"
89384,Frusamil,Frusamil,tabletter,40 + 5 mg,112 stk. (blister),28101307687,,,"112,000"
89399,Mentixa,Mentixa,filmovertrukne tabletter,20 mg,98 stk. (blister),28105086712,"20,000",MG,"98,000"
89433,Diproderm,Diproderm,creme,0.05%,60 g,28101885897,0.050,PC,"60,000"
89466,Iliadin,Iliadin,"nÃ¦sespray, oplÃ¸sning","0,5 mg/ml",200 doser,28101204885,0.500,MGM,"200,000"
89490,Ovestin,Ovestin,tabletter,2 mg,30 stk. (blister),28101704294,"2,000",MG,"30,000"
89524,Spirocort PÃ¦d,Spirocort PÃ¦d,"inhalationsspray, suspension",50 mikg/dosis,200 doser (refill),28101266086,"50,000",RGD,"200,000"
89533,OsvaRen,OsvaRen,filmovertrukne tabletter,435+235 mg,180 stk.,28104128507,,,"180,000"
89540,Hexamycin,Hexamycin,"injektionsvÃ¦ske, oplÃ¸sning",40 mg/ml,10 amp. a 2 ml,28101181284,"40,000",MGM,"20,000"
89557,Hexamycin,Hexamycin,"injektionsvÃ¦ske, oplÃ¸sning",40 mg/ml,10 x 10 amp. a 2 ml,28101181284,"40,000",MGM,"200,000"
89565,Hexamycin,Hexamycin,"injektionsvÃ¦ske, oplÃ¸sning",40 mg/ml,100 x 10 amp. a 2 ml,28101181284,"40,000",MGM,"2,000,000"
89573,Locoid,Locoid,creme,0.10%,Tube a 30 g,28101460191,0.100,PC,"30,000"
89607,Besitran,Besitran,filmovertrukne tabletter,50 mg,90 stk. (blister),28103533403,"50,000",MG,"90,000"
89610,"Diclofenac Rapid ""Teva""","Diclofenac Rapid ""Teva""",filmovertrukne tabletter,50 mg,30 stk. (blister),28103185700,"50,000",MG,"30,000"
89611,Inspra,Inspra,filmovertrukne tabletter,25 mg,30 stk. (blister),28104610209,"25,000",MG,"30,000"
