atc_concept_code,atc_concept_name,atc_concept_id,ingredient_concept_code,ingredient_concept_name,ingredient_concept_id,standard_concept,relationship_ids,n_relationships
J06BA01,"immunoglobulins, normal human, for extravascular adm.",21601256,42386,"Immunoglobulins, Intravenous",551749,,Inferred class of,1
J06BA01,"immunoglobulins, normal human, for extravascular adm.",21601256,617615,Immune Globulin Subcutaneous (Human),586530,,Inferred class of,1
J06BA01,"immunoglobulins, normal human, for extravascular adm.",21601256,5666,Immunoglobulin G,19117912,S,Inferred class of,1
J06BA02,"immunoglobulins, normal human, for intravascular adm.",21601257,42386,"Immunoglobulins, Intravenous",551749,,Inferred class of,1
J06BA02,"immunoglobulins, normal human, for intravascular adm.",21601257,5666,Immunoglobulin G,19117912,S,Inferred class of,1
R03AC18,indacaterol,21603272,1114326,indacaterol,40240664,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AA15,indanazoline,45893133,27492,indanazoline,19069106,S,"ATC - RxNorm,Maps to",2
C03BA11,indapamide,21601499,5764,Indapamide,978555,S,"ATC - RxNorm,Inferred class of,Maps to",3
V04CH02,indigo carmine,21605327,227312,Indigo Carmine,19088587,,ATC - RxNorm,1
J05AE02,indinavir,21603150,114289,Indinavir,1711523,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AC10,indobufen,21600995,27518,indobufen,19069107,S,"ATC - RxNorm,Inferred class of,Maps to",3
M02AA23,indometacin,21604058,5781,Indomethacin,1178663,S,"ATC - RxNorm,Maps to",2
S01BC01,indometacin,21603639,5781,Indomethacin,1178663,S,"ATC - RxNorm,Maps to",2
C01EB03,indometacin,21600365,5781,Indomethacin,1178663,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AB01,indometacin,21603941,5781,Indomethacin,1178663,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02CA02,indoramin,21600412,5784,Indoramin,19078808,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AB02,infliximab,21603909,191831,infliximab,937368,S,"ATC - RxNorm,Inferred class of,Maps to",3
J07BB02,"influenza, inactivated, split virus or surface antigen",21601335,864701,influenza A-California-7-2009-(H1N1)v-like virus vaccine,40166605,S,Inferred class of,1
J07BB03,"influenza, live attenuated",21601336,864701,influenza A-California-7-2009-(H1N1)v-like virus vaccine,40166605,S,Inferred class of,1
D06BX02,ingenol mebutate,43534781,1242806,ingenol mebutate,42709320,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA10,inosine,21605136,1483575,Inosine,44784845,S,"ATC - RxNorm,Maps to",2
D06BB05,inosine,21602087,1483575,Inosine,44784845,S,"ATC - RxNorm,Maps to",2
G01AX02,inosine,21602412,1483575,Inosine,44784845,S,"ATC - RxNorm,Maps to",2
J05AX05,inosine pranobex,21603191,6048,Inosine Pranobex,19083285,S,"ATC - RxNorm,Inferred class of,Maps to",3
A11HA07,inositol,21600848,5833,Inositol,1379525,S,"ATC - RxNorm,Inferred class of,Maps to",3
C04AC03,inositol nicotinate,21601572,27604,Inositol Niacinate,19069108,,ATC - RxNorm,1
V01AA07,insects,21605221,285170,yellowjacket venom protein,19006951,S,Inferred class of,1
V01AA07,insects,21605221,1297537,yellow hornet venom protein,42801309,S,Inferred class of,1
V01AA07,insects,21605221,854041,yellow hornet hymenoptera venom protein,40162174,,Inferred class of,1
V01AA07,insects,21605221,253189,Mixed vespid venom,19097029,S,Inferred class of,1
V01AA07,insects,21605221,854163,European honey bee venom protein,40162005,S,Inferred class of,1
V01AA07,insects,21605221,124428,White faced hornet venom,19014846,,Inferred class of,1
V01AA07,insects,21605221,1297525,bald-faced hornet venom protein,42801272,S,Inferred class of,1
V01AA07,insects,21605221,235614,HYMENOPTERA ALLERGENIC EXTRACT,19055259,S,Inferred class of,1
V01AA07,insects,21605221,124427,Honey bee venom,514834,S,Inferred class of,1
V01AA07,insects,21605221,324054,MIXED VESPID VENOM PROTEIN,19082871,S,Inferred class of,1
V01AA07,insects,21605221,260051,WASP VENOM PROTEIN,19099126,S,Inferred class of,1
A10AC02,insulin (beef),21600724,235278,"insulin, protamine zinc, beef",19090180,S,Inferred class of,1
A10AB02,insulin (beef),21600716,314686,"Insulin, Regular, Beef",19013951,S,Inferred class of,1
A10AC02,insulin (beef),21600724,317235,"insulin beef, isophane",19014950,,Inferred class of,1
A10AE02,insulin (beef),21600737,235280,"Lente Insulin, Beef",19090204,S,Inferred class of,1
A10AC01,insulin (human),21600723,253182,"Regular Insulin, Human",1596977,S,"ATC - RxNorm,Maps to",2
A10AF01,insulin (human),21600743,253182,"Regular Insulin, Human",1596977,S,"ATC - RxNorm,Maps to",2
A10AE01,insulin (human),21600736,253182,"Regular Insulin, Human",1596977,S,"ATC - RxNorm,Maps to",2
A10AE01,insulin (human),21600736,221110,"Ultralente Insulin, Human",1586369,S,Inferred class of,1
A10AE01,insulin (human),21600736,314683,"Insulin, Zinc, Human",1513849,S,Inferred class of,1
A10AB01,insulin (human),21600715,253182,"Regular Insulin, Human",1596977,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AD01,insulin (human),21600729,253182,"Regular Insulin, Human",1596977,S,"ATC - RxNorm,Maps to",2
A10AC01,insulin (human),21600723,253181,"insulin human, isophane",1596914,,Inferred class of,1
A10AF01,insulin (human),21600743,631657,"insulin human, rDNA origin",1588986,S,Inferred class of,1
A10AC03,insulin (pork),21600725,221108,"insulin pork, isophane",1586326,,Inferred class of,1
A10AB03,insulin (pork),21600717,221109,"Insulin, Regular, Pork",1586346,S,Inferred class of,1
A10AB03,insulin (pork),21600717,1309342,"Insulin, Pork",42899447,S,"ATC - RxNorm,Maps to",2
A10AC03,insulin (pork),21600725,1309342,"Insulin, Pork",42899447,S,"ATC - RxNorm,Maps to",2
A10AD03,insulin (pork),21600731,221108,"insulin pork, isophane",1586326,,Inferred class of,1
A10AD03,insulin (pork),21600731,1309342,"Insulin, Pork",42899447,S,"ATC - RxNorm,Maps to",2
A10AE03,insulin (pork),21600738,93108,"Insulin, Zinc, Pork",1562586,S,Inferred class of,1
A10AE03,insulin (pork),21600738,1309342,"Insulin, Pork",42899447,S,"ATC - RxNorm,Maps to",2
A10AB05,insulin aspart,21600719,51428,"Insulin, Aspart, Human",1567198,S,Inferred class of,1
A10AE05,insulin detemir,21600740,139825,insulin detemir,1516976,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AE04,insulin glargine,21600739,274783,Insulin Glargine,1502905,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AB06,insulin glulisine,21600720,400008,"Insulin, Glulisine, Human",1544838,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AB04,insulin lispro,21600718,86009,Insulin Lispro,1550023,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AD04,insulin lispro,21600732,86009,Insulin Lispro,1550023,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10AC04,insulin lispro,21600726,86009,Insulin Lispro,1550023,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB01,interferon alfa natural,21603858,612937,Interferon Alfa-n3,1385645,S,Inferred class of,1
L03AB04,interferon alfa-2a,21603861,5879,Interferon Alfa-2a,1379969,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB05,interferon alfa-2b,21603862,5879,Interferon Alfa-2a,1379969,S,Inferred class of,1
L03AB05,interferon alfa-2b,21603862,5880,Interferon Alfa-2b,1380068,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB06,interferon alfa-n1,21603863,202912,Interferon Alfa-n1,19044394,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB09,interferon alfacon-1,21603866,59744,interferon alfacon-1,1781314,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB02,interferon beta natural,21603859,4381,Interferon-beta,19109079,S,"ATC - RxNorm,Maps to",2
L03AB07,interferon beta-1a,21603864,75917,Interferon beta-1a,722424,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB08,interferon beta-1b,21603865,72257,interferon beta-1b,713196,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB03,interferon gamma,21603860,5885,Interferon Type II,19122123,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AB03,interferon gamma,21603860,5882,Interferon gamma-1b,1380191,S,Inferred class of,1
V04CH01,inulin and other polyfructosans,21605326,5924,Inulin,980478,S,Inferred class of,1
C05BB03,invert sugar,21601645,27712,invert sugar,19003107,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB11,iobitridol,21605396,87639,iobitridol,19053540,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AC07,iocetamic acid,21605405,183830,iocetamic acid,19033638,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AA03,iodamide,21605377,5928,Iodamide,19080542,S,"ATC - RxNorm,Inferred class of,Maps to",3
D08AG03,iodine,21602222,5933,Iodine,1780601,S,"ATC - RxNorm,Inferred class of,Maps to",3
V09AB03,iodine ioflupane (123I),21605452,1426874,Ioflupane I-123,43531992,S,"ATC - RxNorm,Maps to",2
V08AB09,iodixanol,21605394,27729,iodixanol,19003201,S,"ATC - RxNorm,Inferred class of,Maps to",3
D09AA13,iodoform,21602276,27748,iodoform,40172365,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AD04,iofendylate,21605413,5968,Iophendylate,19081269,S,"ATC - RxNorm,Maps to",2
V08AB02,iohexol,21605387,5956,Iohexol,19080985,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB04,iopamidol,21605389,5966,Iopamidol,19081224,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AC06,iopanoic acid,21605404,5967,Iopanoic Acid,19081256,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB08,iopentol,21605393,27779,iopentol,19069110,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB05,iopromide,21605390,27781,iopromide,19003206,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AA04,iotalamic acid,21605378,1546451,Iothalamic Acid,45775579,S,"ATC - RxNorm,Maps to",2
V08AB06,iotrolan,21605391,51474,Iotrolan,19067271,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB07,ioversol,21605392,27792,ioversol,19069131,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AB03,ioxaglic acid,21605388,1426458,Ioxaglic Acid,46274803,,ATC - RxNorm,1
V08AB12,ioxilan,21605397,27793,ioxilan,19003249,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05CA04,ipecacuanha,21603371,5975,Ipecac,1781321,S,"ATC - RxNorm,Maps to",2
V03AB01,ipecacuanha,21605230,5975,Ipecac,1781321,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XC11,ipilimumab,40253136,1094833,ipilimumab,40238188,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03BB01,ipratropium bromide,21603293,7213,Ipratropium,1112921,S,Inferred class of,1
R03BB01,ipratropium bromide,21603293,203212,Ipratropium Bromide,19026848,,ATC - RxNorm,1
R01AX03,ipratropium bromide,21603199,7213,Ipratropium,1112921,S,Inferred class of,1
R01AX03,ipratropium bromide,21603199,203212,Ipratropium Bromide,19026848,,ATC - RxNorm,1
N02CX03,iprazochrome,21604386,51486,iprazochrome,19113032,S,"ATC - RxNorm,Inferred class of,Maps to",3
M05BX01,ipriflavone,21604166,51487,ipriflavone,19067274,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA13,iprindole,21604700,5979,Iprindole,19122204,S,"ATC - RxNorm,Maps to",2
C09CA04,irbesartan,21601827,83818,irbesartan,1347384,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX19,irinotecan,21603797,51499,irinotecan,1367268,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05DB04,isoaminile,21603413,27866,isoaminile,19003416,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AF01,isocarboxazid,21604720,6011,Isocarboxazid,781705,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AF07,isoconazole,21602397,27901,isoconazole,19003491,S,"ATC - RxNorm,Inferred class of,Maps to",3
D01AC05,isoconazole,21601924,27901,isoconazole,19003491,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03CC06,isoetarine,21603316,6023,Isoetharine,1181809,S,"ATC - RxNorm,Maps to",2
R03AC07,isoetarine,21603261,6023,Isoetharine,1181809,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01AB06,isoflurane,21604191,6026,Isoflurane,782043,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03AX10,isometheptene,21600184,27946,isometheptene,1103518,S,"ATC - RxNorm,Inferred class of,Maps to",3
J04AC01,isoniazid,21603103,6038,isoniazid,1782521,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03CB01,isoprenaline,21603306,6054,Isoproterenol,1183554,S,"ATC - RxNorm,Maps to",2
R03AB02,isoprenaline,21603253,6054,Isoproterenol,1183554,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01CA02,isoprenaline,21600282,6054,Isoproterenol,1183554,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03AB09,isopropamide,21600148,89784,Isopropamide,19058613,S,"ATC - RxNorm,Inferred class of,Maps to",3
D08AX05,isopropanol,21602256,797541,Isopropyl Alcohol,19028106,S,"ATC - RxNorm,Inferred class of,Maps to",3
C05AE02,isosorbide dinitrate,21601627,6058,Isosorbide Dinitrate,1383925,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01DA08,isosorbide dinitrate,21600321,6058,Isosorbide Dinitrate,1383925,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01DA14,isosorbide mononitrate,21600324,6057,Isosorbide,1383815,S,Inferred class of,1
C01DA14,isosorbide mononitrate,21600324,28004,Isosorbide Mononitrate,19069136,,ATC - RxNorm,1
D04AA22,isothipendyl,21602015,28012,isothipendyl,19003593,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AD09,isothipendyl,21603488,28012,isothipendyl,19003593,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10BA01,isotretinoin,21602320,6064,Isotretinoin,984232,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AD04,isotretinoin,21602296,6064,Isotretinoin,984232,S,"ATC - RxNorm,Inferred class of,Maps to",3
C04AA01,isoxsuprine,21601563,6066,Isoxsuprine,1384360,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AC01,ispaghula (psylla seeds),21600555,82088,Plantago Seed,19132965,S,Inferred class of,1
A06AC01,ispaghula (psylla seeds),21600555,8928,Psyllium,957797,S,Inferred class of,1
C08CA03,isradipine,21601749,33910,Isradipine,1326012,S,"ATC - RxNorm,Inferred class of,Maps to",3
J02AC02,itraconazole,21603081,28031,Itraconazole,1703653,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01EB17,ivabradine,21600376,1649480,ivabradine,46234437,S,"ATC - RxNorm,Maps to",2
R07AX02,ivacaftor,43534853,1243041,ivacaftor,42709323,S,"ATC - RxNorm,Inferred class of,Maps to",3
D11AX22,ivermectin,45893486,6069,Ivermectin,1784444,S,"ATC - RxNorm,Maps to",2
P02CF01,ivermectin,21604957,6069,Ivermectin,1784444,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01DC04,ixabepilone,21603745,337523,ixabepilone,19025348,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01FA07,josamycin,21602975,6084,Josamycin,19123240,S,"ATC - RxNorm,Inferred class of,Maps to",3
C04AF01,kallidinogenase,21601586,6095,Kininogenase,19123342,S,"ATC - RxNorm,Maps to",2
J01GB04,kanamycin,21602997,6099,Kanamycin,1784749,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AA24,kanamycin,21603575,6099,Kanamycin,1784749,S,"ATC - RxNorm,Inferred class of,Maps to",3
A07AA08,kanamycin,21600610,6099,Kanamycin,1784749,S,"ATC - RxNorm,Inferred class of,Maps to",3
A07BC02,kaolin,21600634,6102,Kaolin,984801,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AA06,kebuzone,21603939,28198,kebuzone,19069191,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01AX03,ketamine,21604210,6130,Ketamine,785649,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02KD01,ketanserin,21600446,6131,Ketanserin,19085688,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05BA10,ketazolam,21604575,28181,ketazolam,19003946,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AF11,ketoconazole,21602399,6135,Ketoconazole,985708,S,"ATC - RxNorm,Inferred class of,Maps to",3
D01AC08,ketoconazole,21601927,6135,Ketoconazole,985708,S,"ATC - RxNorm,Inferred class of,Maps to",3
J02AB02,ketoconazole,21603078,6135,Ketoconazole,985708,S,"ATC - RxNorm,Inferred class of,Maps to",3
M02AA10,ketoprofen,21604046,6142,Ketoprofen,1185922,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AE03,ketoprofen,21603969,6142,Ketoprofen,1185922,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AB15,ketorolac,21603955,35827,Ketorolac,1136980,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BC05,ketorolac,21603643,35827,Ketorolac,1136980,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AX17,ketotifen,21603517,6146,Ketotifen,986117,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01GX08,ketotifen,21605092,6146,Ketotifen,986117,S,"ATC - RxNorm,Inferred class of,Maps to",3
C07AG01,labetalol,21601699,6185,Labetalol,1386957,S,"ATC - RxNorm,Inferred class of,Maps to",3
C08CA09,lacidipine,21601755,28382,lacidipine,19004539,S,"ATC - RxNorm,Inferred class of,Maps to",3
N03AX18,lacosamide,21604440,623400,lacosamide,19087394,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AD01,lactic acid,21602385,28393,Lactic acid,904826,,ATC - RxNorm,1
A07FA01,lactic acid producing organisms,21600669,285148,Bifidobacterium bifidum,19006764,S,Inferred class of,1
A07FA01,lactic acid producing organisms,21600669,6204,Lactobacillus,987128,S,Inferred class of,1
A07FA01,lactic acid producing organisms,21600669,6205,Lactobacillus acidophilus,987153,S,Inferred class of,1
A07FA01,lactic acid producing organisms,21600669,100213,Bifidobacterium Infantis,19136097,S,Inferred class of,1
A07FA01,lactic acid producing organisms,21600669,602811,Lactobacillus rhamnosus GG,19122437,S,Inferred class of,1
A06AD12,lactitol,21600572,28395,lactitol,19071236,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AD11,lactulose,21600571,6218,Lactulose,987245,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AF05,lamivudine,21603164,68244,Lamivudine,1704183,S,"ATC - RxNorm,Inferred class of,Maps to",3
N03AX09,lamotrigine,21604431,28439,lamotrigine,705103,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01AA06,lanatoside C,21600235,27929,lanatoside C,19003522,S,"ATC - RxNorm,Inferred class of,Maps to",3
H01CB03,lanreotide,21602717,68092,lanreotide,1503501,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02BC03,lansoprazole,21600098,17128,lansoprazole,929887,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AE03,lanthanum carbonate,21605266,234416,lanthanum carbonate,990028,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XE07,lapatinib,21603778,480167,lapatinib,1359548,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AB05,laronidase,21600946,392509,Laronidase,1543229,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01DD06,latamoxef,21602900,7069,Moxalactam,19126622,S,"ATC - RxNorm,Maps to",2
S01EE01,latanoprost,21603710,43611,latanoprost,954688,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA13,leflunomide,21603898,27169,leflunomide,1101898,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AX04,lenalidomide,21603930,342369,lenalidomide,19026972,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AA10,lenograstim,21603854,70167,lenograstim,19009705,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AE02,lepirudin,21601021,237057,lepirudin,19092139,S,"ATC - RxNorm,Inferred class of,Maps to",3
C08CA13,lercanidipine,21601759,135056,lercanidipine,19015802,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05CB09,letosteine,21603388,28554,letosteine,19071861,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02BG04,letrozole,21603842,72965,letrozole,1315946,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02AE02,leuprorelin,21603825,42375,Leuprolide,1351541,S,"ATC - RxNorm,Inferred class of,Maps to",3
N07BC03,levacetylmethadol,21604828,6814,Methadyl Acetate,19003959,S,Inferred class of,1
P02CE01,levamisole,21604955,6371,Levamisole,1389464,S,"ATC - RxNorm,Inferred class of,Maps to",3
N03AX14,levetiracetam,21604436,114477,Levetiracetam,711584,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01ED03,levobunolol,21603701,1813,Levobunolol,932815,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BB10,levobupivacaine,21604238,259453,Levobupivacaine,19098741,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01GX02,levocabastine,21605086,28627,levocabastine,907553,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AC02,levocabastine,21605034,28627,levocabastine,907553,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AA01,levocarnitine,21600935,42955,Levocarnitine,1553610,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AE09,levocetirizine,21603498,356887,levocetirizine,1136422,S,"ATC - RxNorm,Inferred class of,Maps to",3
N04BA01,levodopa,21604464,6375,Levodopa,789578,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05DB27,levodropropizine,21603434,52014,"dipropizine, (S)-isomer",19067412,S,"ATC - RxNorm,Maps to",2
J01MA12,levofloxacin,21603019,82122,Levofloxacin,1742253,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AE05,levofloxacin,43534860,82122,Levofloxacin,1742253,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AA02,levomepromazine,21604493,6852,Methotrimeprazine,19005147,S,"ATC - RxNorm,Inferred class of,Maps to",3
N07BC05,levomethadone,40252535,236913,LEVOMETHADONE,19056706,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03AC03,levonorgestrel,21602499,6373,Levonorgestrel,1589505,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03AD01,levonorgestrel,40254010,6373,Levonorgestrel,1589505,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01CX08,levosimendan,21600314,73107,Levosimendan,40173184,S,"ATC - RxNorm,Inferred class of,Maps to",3
H03AA01,levothyroxine sodium,21602754,10582,levothyroxine,1501700,S,Inferred class of,1
H03AA01,levothyroxine sodium,21602754,40144,Levothyroxine Sodium,19102133,,ATC - RxNorm,1
R02AD02,lidocaine,21603243,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
C05AD01,lidocaine,21601618,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BB02,lidocaine,21604230,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01HA07,lidocaine,21605104,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01BB01,lidocaine,21600260,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
D04AB01,lidocaine,21602020,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02DA01,lidocaine,21605182,6387,Lidocaine,989878,S,"ATC - RxNorm,Inferred class of,Maps to",3
C08EX01,lidoflazine,21601777,6390,Lidoflazine,19124331,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AX04,linaclotide,43534742,1307404,linaclotide,42900505,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BH05,linagliptin,40251691,1100699,Linagliptin,40239216,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01FF02,lincomycin,21602986,6398,Lincomycin,1790692,S,"ATC - RxNorm,Inferred class of,Maps to",3
P03AB02,lindane,21604978,6387,Lidocaine,989878,S,Inferred class of,1
P03AB02,lindane,21604978,1388,Lindane,916751,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01XX08,linezolid,21603068,190376,linezolid,1736887,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AC05,linseed,21600558,318224,Flaxseed extract,1315342,S,Inferred class of,1
A06AC05,linseed,21600558,6404,Linseed Oil,19090767,S,"ATC - RxNorm,Inferred class of,Maps to",3
H03AA02,liothyronine sodium,21602755,142448,liothyronine sodium,19012196,,ATC - RxNorm,1
H03AA02,liothyronine sodium,21602755,10814,Triiodothyronine,1505346,S,Inferred class of,1
L03AA14,lipegfilgrastim,43534819,1440046,lipegfilgrastim,44506753,S,"ATC - RxNorm,Maps to",2
A06AA01,liquid paraffin,21600534,6972,Mineral Oil,908523,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BX07,liraglutide,21600795,475968,liraglutide,40170911,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BA12,lisdexamfetamine,40252237,700810,Lisdexamfetamine,709567,S,"ATC - RxNorm,Inferred class of,Maps to",3
C09AA03,lisinopril,21601787,29046,Lisinopril,1308216,S,"ATC - RxNorm,Inferred class of,Maps to",3
N02CA07,lisuride,21604369,6446,Lisuride,19091472,S,"ATC - RxNorm,Inferred class of,Maps to",3
G02CB02,lisuride,21602459,6446,Lisuride,19091472,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AN01,lithium,21604556,52105,lithium citrate,767410,S,Inferred class of,1
N05AN01,lithium,21604556,42351,Lithium Carbonate,751246,S,Inferred class of,1
N05AN01,lithium,21604556,6448,Lithium,19124477,S,"ATC - RxNorm,Inferred class of,Maps to",3
D11AX04,lithium succinate,21602345,28817,lithium succinate,19071904,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BX10,lixisenatide,43534754,1440051,Lixisenatide,44506754,S,"ATC - RxNorm,Maps to",2
S01GX05,lodoxamide,21605089,52151,Lodoxamide,967496,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA07,lofepramine,21604694,6465,Lofepramine,19091830,S,"ATC - RxNorm,Maps to",2
N07BC04,lofexidine,21604829,28863,lofexidine,19007803,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AE04,lomefloxacin,43534859,28872,lomefloxacin,1707800,S,"ATC - RxNorm,Maps to",2
J01MA07,lomefloxacin,21603014,28872,lomefloxacin,1707800,S,"ATC - RxNorm,Inferred class of,Maps to",3
C10AX12,lomitapide,43534774,1364479,lomitapide,43013119,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01AD02,lomustine,21601408,6466,Lomustine,1391846,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AB09,lonazolac,21603949,28876,lonazolac,19071933,S,"ATC - RxNorm,Inferred class of,Maps to",3
A07DA03,loperamide,21600646,6468,Loperamide,991876,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CD11,loprazolam,21604646,38555,triazulenone,19042550,S,"ATC - RxNorm,Maps to",2
J01DC08,loracarbef,21602890,28981,loracarbef,1708100,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AX13,loratadine,21603514,28889,Loratadine,1107830,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05BA06,lorazepam,21604571,6470,Lorazepam,791967,S,"ATC - RxNorm,Inferred class of,Maps to",3
A08AA11,lorcaserin,43534746,1300701,lorcaserin,42873635,S,"ATC - RxNorm,Maps to",2
N05CD06,lormetazepam,21604641,28894,lormetazepam,19007977,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AC05,lornoxicam,21603964,20890,lornoxicam,19049709,S,"ATC - RxNorm,Inferred class of,Maps to",3
